House ID,Price
501,117310.78125
502,129627.71875
503,124694.25
504,125039.5703125
505,116498.6875
506,125955.46875
507,142441.921875
508,137536.078125
509,123296.0625
510,109919.2734375
511,124278.5859375
512,119648.0703125
513,146895.78125
514,117710.046875
515,133910.859375
516,146005.296875
517,132014.828125
518,111452.75
519,113700.0546875
520,101308.25
521,134375.265625
522,117892.15625
523,134447.703125
524,116841.390625
525,149545.578125
526,133195.984375
527,135131.28125
528,148759.203125
529,122074.78125
530,128101.21875
531,119785.796875
532,143092.515625
533,134487.265625
534,162485.671875
535,127782.734375
