House ID,Price
501,143512.96875
502,141404.3125
503,146628.53125
504,164077.359375
505,113652.828125
506,153182.65625
507,151075.015625
508,133283.046875
509,145336.1875
510,151883.375
511,130824.1796875
512,157052.625
513,134024.78125
514,145002.859375
515,127724.9921875
516,160302.0625
517,132382.0
518,135362.4375
519,127142.5546875
520,171430.75
521,171855.953125
522,135370.46875
523,162769.21875
524,144967.15625
525,153219.65625
526,158513.96875
527,87544.7890625
528,177240.84375
529,169997.5625
530,158764.25
531,142336.765625
532,134791.875
533,170858.90625
534,137266.1875
535,138406.125
