House ID,Price
501,151816.71875
502,138545.59375
503,152408.40625
504,154177.96875
505,184507.578125
506,113364.4375
507,126383.2265625
508,147640.390625
509,177515.3125
510,183225.578125
511,166147.9375
512,183066.90625
513,145356.78125
514,113778.609375
515,158541.71875
516,151871.59375
517,146085.609375
518,147669.375
519,142644.671875
520,148023.21875
521,129404.703125
522,208167.265625
523,113348.8359375
524,202578.9375
525,143924.234375
526,140375.203125
527,183851.4375
528,177903.703125
529,172646.484375
530,122120.5234375
531,149654.015625
532,162855.65625
533,114376.84375
534,185803.703125
535,142342.203125
