House ID,Price
501,188947.1875
502,209042.5625
503,199060.78125
504,214834.875
505,204571.921875
506,205738.375
507,195788.0
508,205650.625
509,190554.421875
510,215287.484375
511,196432.03125
512,188675.59375
513,218050.125
514,190374.640625
515,227395.0625
516,204065.8125
517,200382.1875
518,191603.21875
519,183295.46875
520,215959.9375
521,166905.78125
522,191317.703125
523,187493.765625
524,187981.59375
525,216033.125
526,208711.765625
527,208871.203125
528,192845.65625
529,195713.71875
530,198362.265625
531,157620.125
532,217338.75
533,221088.78125
534,188724.1875
535,231742.5
