House ID,Price
501,110544.4765625
502,125519.78125
503,115053.2109375
504,116919.625
505,130304.515625
506,137770.390625
507,122996.984375
508,98382.6171875
509,126430.1640625
510,115650.3359375
511,131040.9765625
512,113641.1953125
513,118661.8984375
514,112350.71875
515,125199.28125
516,119927.3359375
517,144590.25
518,114065.0234375
519,150509.390625
520,109231.109375
521,108058.2109375
522,131512.625
523,148683.109375
524,118993.0546875
525,122350.2109375
526,132799.546875
527,118787.78125
528,124758.5859375
529,146287.515625
530,125407.3046875
531,123633.765625
532,114435.9765625
533,138282.671875
534,99726.8046875
535,118148.765625
