filename,genre
test.00000.wav,hiphop
test.00001.wav,metal
test.00002.wav,metal
test.00003.wav,hiphop
test.00004.wav,metal
test.00005.wav,metal
test.00006.wav,hiphop
test.00007.wav,metal
test.00008.wav,disco
test.00009.wav,hiphop
test.00010.wav,metal
test.00011.wav,metal
test.00012.wav,metal
test.00013.wav,reggae
test.00014.wav,metal
test.00015.wav,pop
test.00016.wav,metal
test.00017.wav,metal
test.00018.wav,pop
test.00019.wav,disco
test.00020.wav,metal
test.00021.wav,disco
test.00022.wav,hiphop
test.00023.wav,hiphop
test.00024.wav,hiphop
test.00025.wav,metal
test.00026.wav,hiphop
test.00027.wav,metal
test.00028.wav,hiphop
test.00029.wav,reggae
test.00030.wav,hiphop
test.00031.wav,hiphop
test.00032.wav,metal
test.00033.wav,reggae
test.00034.wav,blues
test.00035.wav,metal
test.00036.wav,hiphop
test.00037.wav,reggae
test.00038.wav,metal
test.00039.wav,blues
test.00040.wav,metal
test.00041.wav,pop
test.00042.wav,metal
test.00043.wav,reggae
test.00044.wav,reggae
test.00045.wav,rock
test.00046.wav,disco
test.00047.wav,rock
test.00048.wav,reggae
test.00049.wav,reggae
test.00050.wav,metal
test.00051.wav,hiphop
test.00052.wav,pop
test.00053.wav,metal
test.00054.wav,reggae
test.00055.wav,disco
test.00056.wav,hiphop
test.00057.wav,metal
test.00058.wav,reggae
test.00059.wav,disco
test.00060.wav,metal
test.00061.wav,disco
test.00062.wav,metal
test.00063.wav,metal
test.00064.wav,reggae
test.00065.wav,disco
test.00066.wav,metal
test.00067.wav,disco
test.00068.wav,reggae
test.00069.wav,blues
test.00070.wav,metal
test.00071.wav,hiphop
test.00072.wav,metal
test.00073.wav,blues
test.00074.wav,reggae
test.00075.wav,metal
test.00076.wav,metal
test.00077.wav,metal
test.00078.wav,metal
test.00079.wav,blues
test.00080.wav,disco
test.00081.wav,metal
test.00082.wav,rock
test.00083.wav,metal
test.00084.wav,metal
test.00085.wav,hiphop
test.00086.wav,disco
test.00087.wav,hiphop
test.00088.wav,reggae
test.00089.wav,reggae
test.00090.wav,rock
test.00091.wav,hiphop
test.00092.wav,hiphop
test.00093.wav,hiphop
test.00094.wav,metal
test.00095.wav,metal
test.00096.wav,hiphop
test.00097.wav,pop
test.00098.wav,metal
test.00099.wav,metal
test.00100.wav,metal
test.00101.wav,metal
test.00102.wav,hiphop
test.00103.wav,metal
test.00104.wav,hiphop
test.00105.wav,disco
test.00106.wav,disco
test.00107.wav,metal
test.00108.wav,reggae
test.00109.wav,hiphop
test.00110.wav,hiphop
test.00111.wav,metal
test.00112.wav,metal
test.00113.wav,disco
test.00114.wav,hiphop
test.00115.wav,hiphop
test.00116.wav,blues
test.00117.wav,blues
test.00118.wav,hiphop
test.00119.wav,reggae
test.00120.wav,metal
test.00121.wav,pop
test.00122.wav,disco
test.00123.wav,metal
test.00124.wav,disco
test.00125.wav,blues
test.00126.wav,reggae
test.00127.wav,disco
test.00128.wav,metal
