filename,lyrics,genre
blues.00001.wav,"I’m in the Mood Lyrics[Verse 1]
I'm in the mood, baby, I'm in the mood for love
I'm in the mood, baby, I'm in the mood for love
I'm in the mood, I'm in the mood
Baby, I'm in the mood for love

[Verse 2]
I said night time is the right time, to be with the one you love
You know when night come, baby, God know you so far away
I'm in the mood
I'm in the mood, baby, I'm in the mood for love
I'm in the mood, in the mood
Baby, in the mood for love

[Verse 3]
I said yes, my mama told me to leave that girl alone
But my mama didn't know, God know, girl was puttin' down
I'm in the mood
I'm in the mood, baby, the mood for love
I'm in the mood, I'm in the mood
Baby, in the mood for loveYou might also likeEmbed",blues
blues.00002.wav,"(John Lee Hooker)
Think twice before you go, baby, this will be the end
Think twice before you go, baby, this will be the end
You done leave me one time, baby you'll leave again

Dig in and suffer with me, an' I know you paid your dues
Dig in and suffer with me baby, an' I know you paid your dues
You done leave me when I need you, then I know you stand accused

Breaking the heart you should be ruling
Doing the man who loves you wrong
Breaking the heart you should be ruling
Doing the man who loves you wrong
I go for a lot of things, but you're a little too strong

Think twice before you go, baby this will be the end
Think twice before you go, baby this will be the end
You done leave me one time, baby, you'll leave again
HaYou might also likeEmbed",blues
blues.00003.wav,"[Intro, Spoken]
...A little thing I'm going to do called ""I'm bad like Jesse James:""

[Spoken]
I'm bad, I'm bad, like Jesse James, uh-huh
I had a friend one time
'least I thought I did
He come to me, said, 'Johnny'
I said 'what, man?'
'I'm outdoors'
I said, 'yeah'
I'd taken the cat in
Get him a place to stay
And I found out
He goin' around town
Telling everybody that he
He got my wife, heh
And I gets mad
I goes to the cat
Like a good guy should
I said look man
I'm gonna warn you
Just one time
Next time I warn you
I'mma use my gun
You might also like'Cause I'm mad, I'm bad, like Jesse James

[Verse 1]
I'm so mad, I'm so mad!
I'm gonna ruin you this morning
I got three boys
Do my dirty work
Now you don't see me
I'm the big boss
I do the payin' off
After they take care of you
In their own way
They may shoot you
They may cut you
They may drown you
I just don't know
I don't care!
As long as they take care of you
In their own way

[Verse 2]
I'm so mad, I'm bad, this mornin', like Jesse James
They're gonna take you right down
By the riverside
Now four is goin' down
Ain't but three coming back
You read between the lines
What's gonna happen to you
[Verse 3]
'Cause I'm mad, I'm bad, like Jesse James
They gonna tie your hands
They gonna tie your feet
They gonna gag your throat
Where you can't holla none
And crying won't help you none
They gonna send you in the water
Got the bubbles coming up
Ooo! (grrr, rrr!)

[Outro]
Aww yea! I'm so mad!Embed",blues
blues.00005.wav,"Sugar mama, sugar mama, sugar mama please come back to me
Sugar mama, sugar mama, sugar mama please come back to me
Bring me my granulated sugar, sugar mama, sugar mama ease my misery

You've got this new grade of sugar, sugar mama, an you done made me love it too
You've got this new grade of sugar, sugar mama, an you done made me love it too
You've got this granulated sugar, sugar mama, ain't nobody else got, but you

They been braggin' 'bout your sugar, sugar mama, been braggin' all over town
They been braggin' 'bout your sugar, sugar mama, braggin' all over town
Everywhere i go sugar mama, sugar mama you can hear your name
Read them crazy about you sugar mama
Because you ease my worried mind
Read them crazy about you sugar mama
Because you ease my worried mind
You got something something sugar mama
Ain't nobody else got but you

Now, the bootleggers want you to sell 'em enough to make whiskey
But you won't sell 'em about four or five pounds

I like my coffee sweet early in the mornin', you know, an I'm crazy 'bout my tea at night
You what i meant about that sugar mama
I like my coffee sweet early in the mornin', you know, an I'm crazy 'bout my tea at night
Don't get my sugar three times a day, oh, Lord
You don't mean you just can't get along right
Then I don't feel rightYou might also likeEmbed",blues
blues.00006.wav,"My baby left me this morning
People just around four o'clock
My baby left me this morning
People just around four o'clock
She left me dreamin' dreamin'
People then I woke up crying

Me and my baby don't get along so well
We don't do a doggone thing but fuss and fight all
Most all the time, she left me to dream
People dream most all the time

Ever since my baby left me
I don't do a doggone thing but dream
Yes my nightmares are killing me now

You know I lay down dreamin'
People God knows that I wake up crying

Yes since my baby's been gone
People I just can't eat a bite
I'm gonna get up in the morning
Going down that lonesome road
I don't find my baby
People I won't be back no moreYou might also likeEmbed",blues
blues.00007.wav,"It's a low-down dog, a dirty Groundhog that rootin' round my in back door
Yes if I catch him there rootin' there [man?], Lord, he won't root there no more

Yes he stand and he watch me, in the morning when I leave home
Yes he stand and he watch me, Lord, in the morning when I leave home
Then when I leave home in the morning, yes, he hangs around all day long

Give me some toads'n' frogs' hips
I'm gonna, gonna, put it all together
I'm gonna, gonna mix it up together
I'm gonna, gonna whup it all up good
I'm gonna, gonna kill that ol' dirty Groundhog

I bet'cha my bottom dollar then man, he, he won't root there no more

[Spoken]
Na he ain't gonna root no more there

I said goodbye baby, Lord, I'm leavin' you now
I said goodbye baby, Lord, I'm leavin' you now
I done did what I want to done, killed that dirty ground hog

[Spoken]
Yes he's through!You might also likeEmbed",blues
blues.00009.wav,"It's my own fault darlin', that you treat me the way you do
It's my own fault darlin', caused you treat me the way you do
When you left me darlin', I was callin' from town to town
Ooh, won't you give me one more chance
Ooh baby, won't you give me one more chance
Baby, I'll prove that I'm in love with you, you know I'll be travelin' no more
It's my own fault darlin', I made you treat me the way you do
It's my own fault darlin', I made you treat me the way you do
Baby I go alone, I just realized, all I did
Oh goodbye baby, I know we may never meet again
Oh goodbye baby, I know we may never meet again
But it's my own fault darlin', I made you treat me the way you didYou might also likeEmbed",blues
blues.00010.wav,"Oh little girl, you look good to me
Hey little girl, you look good to me
I'm just a lonely boy baby, lookin' for someone to love

I went to San Antone, California too
When I got there baby, I feel a lonely boy
I didn't find nobody baby, even talk to me
That's why I'm asking you baby
Please be nice to me
'Cause I'm a lonely boy baby
Looking for someone to love

I walked into a tavern, had myself a seat
Everybody was so gay, having fun but me
When I sat down baby and looked into your face
The first thing I said little girl, you was the one for me
I said ohh, oh baby, I got eyes for youYou might also likeEmbed",blues
blues.00011.wav,"[Verse 1]
It serves you right to suffer
It serves you right to be alone
It serves you right to suffer
It serves you right to be alone
Because you're still livin'
The day done packed and gone

[Verse 2]
Every time you see a woman
She makes you think of yours
Every time you see a woman
She makes you think of yours
And that's why, thats why, thats why
You can't keep from crying

[Verse 3]
Your doctor put you on
Milk, cream, and alcohol
Your doctor put you on
Milk, cream, and alcohol
He told you that's why
You can't sleep at night
You're nerve is so bad, yeah

[Verse 4]
Every time you see a woman
She make you think of yours
Every time you see a woman
She make you think of yours
She treated you so bad
You just couldn't keep from crying
Your life will never be the same
You might also like[Outro]
You're still living in a day done packed and gone
And memories
You can't live on
In that way
In the past
Them days is goneEmbed",blues
blues.00013.wav,"And I feel so lonesome
You hear me when I moan
When I feel so lonesome
You hear me when I moan
Who been drivin' my Terraplane
For you since I been gone?
I'd said, ""I'll flash your lights, mama
Your horn won't even blow""
Somebody's been runnin'
My batteries down on this machine
I even flash my lights, mama
This horn won't even blow
Got a short in this connection
Hoo well, babe, it's way down below

I'm goin' heist your hood, mama
I'm bound to check your oil
I'm goin' heist your hood, mama
I'm bound to check your oil
I got a woman that I'm lovin'
Way down in Arkansas

Now, you know the coils ain't even buzzin'
Little generator won't get the spark
Motor's in a bad condition
You gotta have these batteries charged
But I'm cryin', please, please don't do me wrong
Who been drivin' my Terraplane
Now for you since I been gone
Mr. Highway Man, please don't block the road
Please, please don't block the road
You might also likeCause she's reachin' a cold one hundred
And I'm booked and I got to go
Yoo, you hear me weep and moan
Who been drivin' my Terraplane
Now for you since I been gone

I'm gon' get down in this connection
Keep on tanglin' with your wires
I'm gon' get down in this connection
Oh well, keep on tanglin' with these wires
And when I mash down on your little starter
Then your spark plug will give me fireEmbed",blues
blues.00014.wav,"[Intro]
Mmm mmm mmm mmm mmm
Mmm mmm mmm mmm mmm
Mmm mmm mmm mmm mmm
Mmm mmm mmm mmm mmm
You better come on in my kitchen
Hey, it's goin' to be rainin' outdoors

[Verse 1]
Ah, the woman I love, took from my best friend
Some joker got lucky, stole her back again
You better come on in my kitchen
Hey, it's goin' to be rainin' outdoors

[Verse 2]
Ah ah, she's gone, I know she won't come back
I've taken the last nickel out of her nation sack
You better come on in my kitchen
Hey, it's goin' to be rainin' outdoors

[Bridge]
(Oh, can't you hear that wind howl?)
Oh, can't you hear that wind howl?
You better come on in my kitchen
Hey, it's going to be rainin' outdoors
You might also like[Verse 3]
When a woman gets in trouble, everybody throws her down
Looking for her good friend, none can be found
You better come on in my kitchen
Hey, it's going to be rainin' outdoors

[Verse 4]
Winter time's comin', it's gon' be slow
You can't make the winter, babe, that's dry long so
You better come on in my kitchen
'Cause it's going to be rainin' outdoors2Embed",blues
blues.00015.wav,"I woke up this morning, feeling round for my shoes
Know 'bout 'at I got these, old walking blues
Woke up this morning, feeling round for my shoes
But you know 'bout 'at I, got these old walking blues

Lord, I feel like blowing my old lonesome horn
Got up this morning, my little Bernice was gone
Lord, I feel like blowing my lonesome horn
Well I got up this morning all I had was gone

Well leave this morn' of I have to ride the blind
I've feel mistreated and I don't mind dying
Leaving this morn', I have to ride a blind
Babe, I been mistreated, baby, and I don't mind dying

Well, some people tell me that the worried blues ain't bad
Worst old feeling I most ever had, some
People tell me that these old worried old blues ain't bad
It's the worst old feeling, I 'most ever had

She got an Elgin movement from her head down to her toes
Break in on a dollar most anywhere she goes
My head down to her toes, oh how nice
Lord she break in on a dollar most anywhere she goesYou might also likeEmbed",blues
blues.00016.wav,"[Verse 1]
It's the last fair deal gone down
Last fair deal gone down
It's the last fair deal gone down, good Lord
On that Gulfport Island Road

[Verse 2]
Ida Belle don't cry this time
Ida Belle don't cry this time
If you cry 'bout a nickel, you die 'bout a dime
She wouldn't cry, but the money won't mind

[Verse 3]
I love the way you do
I love the way you do
I love the way you do, good Lord
On this Gulfport Island Road

[Verse 4]
My captain's so mean on me
My captain's so mean on me
My captain's so mean on me, good Lord
On this Gulfport Island Road

[Verse 5]
Take camp, baby, and sing
Camp, baby, and sing
Let's camp, baby, and sing, good Lord
On that Gulfport Island Road
You might also like[Verse 6]
I've the last fair deal gone down
It's the last fair deal gone down
It's the last fair deal gone down, dear Lord
On this Gulfport Island Road

[Verse 7]
I'm working my way back home
I'm working my way back home
I'm working my way back home, good Lord
On this Gulfport Island Road

[Verse 8]
And that thing don't keep ringing so soon
That thing don't keep ringing so soon
And that thing don't keep ringing so soon, good Lord
On that Gulf-ed Port Island RoadEmbed",blues
