filename,genre
test.00000.wav,pop
test.00001.wav,country
test.00002.wav,reggae
test.00003.wav,rock
test.00004.wav,country
test.00005.wav,metal
test.00006.wav,metal
test.00007.wav,metal
test.00008.wav,reggae
test.00009.wav,hiphop
test.00010.wav,disco
test.00011.wav,country
test.00012.wav,reggae
test.00013.wav,pop
test.00014.wav,hiphop
test.00015.wav,blues
test.00016.wav,pop
test.00017.wav,metal
test.00018.wav,metal
test.00019.wav,country
test.00020.wav,metal
test.00021.wav,pop
test.00022.wav,rock
test.00023.wav,metal
test.00024.wav,blues
test.00025.wav,reggae
test.00026.wav,metal
test.00027.wav,country
test.00028.wav,reggae
test.00029.wav,metal
test.00030.wav,disco
test.00031.wav,hiphop
test.00032.wav,country
test.00033.wav,rock
test.00034.wav,disco
test.00035.wav,blues
test.00036.wav,rock
test.00037.wav,pop
test.00038.wav,pop
test.00039.wav,disco
test.00040.wav,rock
test.00041.wav,metal
test.00042.wav,country
test.00043.wav,pop
test.00044.wav,metal
test.00045.wav,disco
test.00046.wav,reggae
test.00047.wav,disco
test.00048.wav,rock
test.00049.wav,hiphop
test.00050.wav,country
test.00051.wav,metal
test.00052.wav,country
test.00053.wav,country
test.00054.wav,disco
test.00055.wav,hiphop
test.00056.wav,reggae
test.00057.wav,hiphop
test.00058.wav,metal
test.00059.wav,hiphop
test.00060.wav,rock
test.00061.wav,blues
test.00062.wav,pop
test.00063.wav,rock
test.00064.wav,metal
test.00065.wav,metal
test.00066.wav,metal
test.00067.wav,country
test.00068.wav,pop
test.00069.wav,disco
test.00070.wav,hiphop
test.00071.wav,metal
test.00072.wav,country
test.00073.wav,rock
test.00074.wav,hiphop
test.00075.wav,hiphop
test.00076.wav,country
test.00077.wav,metal
test.00078.wav,hiphop
test.00079.wav,metal
test.00080.wav,country
test.00081.wav,pop
test.00082.wav,blues
test.00083.wav,pop
test.00084.wav,metal
test.00085.wav,pop
test.00086.wav,reggae
test.00087.wav,metal
test.00088.wav,blues
test.00089.wav,hiphop
test.00090.wav,country
test.00091.wav,blues
test.00092.wav,pop
test.00093.wav,metal
test.00094.wav,pop
test.00095.wav,blues
test.00096.wav,disco
test.00097.wav,hiphop
test.00098.wav,pop
test.00099.wav,country
test.00100.wav,reggae
test.00101.wav,country
test.00102.wav,country
test.00103.wav,country
test.00104.wav,country
test.00105.wav,country
test.00106.wav,country
test.00107.wav,blues
test.00108.wav,blues
test.00109.wav,blues
test.00110.wav,metal
test.00111.wav,blues
test.00112.wav,blues
test.00113.wav,metal
test.00114.wav,rock
test.00115.wav,pop
test.00116.wav,rock
test.00117.wav,metal
test.00118.wav,hiphop
test.00119.wav,disco
test.00120.wav,reggae
test.00121.wav,hiphop
test.00122.wav,metal
test.00123.wav,blues
test.00124.wav,disco
test.00125.wav,blues
test.00126.wav,hiphop
test.00127.wav,country
test.00128.wav,country
